country,position,full_name,rating,salary
USA,G,Delon Wright,76,9473684
USA,G,Coby White,76,5307120
Other,C,Pau Gasol,75,5538540
Other,G,Marco Belinelli,75,5846154
Other,C,Bismack Biyombo,75,17000000
USA,G-F,Mikal Bridges,75,4161000
USA,G-F,Wilson Chandler,75,2564753
USA,G,Kris Dunn,75,5348007
USA,G,Wayne Ellington,75,8000000
USA,G,Josh Hart,75,1934160
USA,F,John Henson,75,9732396
Other,G-F,Mario Hezonja,75,1737145
USA,G,George Hill,75,10133907
USA,F,Rondae Hollis-Jefferson,75,2500000
USA,F,James Johnson,75,15349400
USA,G,Luke Kennard,75,3827160
USA,C,Robin Lopez,75,4767000
Other,F,Trey Lyles,75,5500000
USA,G,Malik Monk,75,4028400
USA,F,Markieff Morris,75,3709887
USA,G,Shabazz Napier,75,1845301
USA,F,Noah Vonleh,75,2000000
Other,F,Juan Hernangomez,74,3321029
USA,F,Kyle Anderson,74,9073050
USA,G,Reggie Bullock,74,4000000
USA,C,Zach Collins,74,4240200
USA,G,Markelle Fultz,74,9745200
USA,F-C,Harry Giles,74,2578800
USA,F,Moe Harkless,74,11011234
USA,G-F,Justin Jackson,74,3280920
Other,G,Cory Joseph,74,12000000
Other,F-C,TJ Leaf,74,2813280
USA,F,Doug McDermott,74,7333333
USA,C,Joakim Noah,74,6813026
USA,G,Denzel Valentine,74,3377568
USA,F-C,Robert Williams,74,1937520
USA,F-C,Jaxson Hayes,74,4862040
Other,F,Rui Hachimura,74,4469160
Other,G-F,OG Anunoby,73,2281800
USA,F,DeAndre Bembry,73,2603981
USA,G-F,Troy Brown,73,3219480
USA,G,Alec Burks,73,2320044
USA,C,Tyson Chandler,73,2564753
USA,G,Aaron Holiday,73,2239200
USA,F,Stanley Johnson,73,3623000
USA,G,Tyus Jones,73,10116000
Other,F,Furkan Korkmaz,73,1620564
Other,C,Ian Mahinmi,73,15450051
Other,G,Frank Ntilikina,73,4855800
Other,G,Josh Okogie,73,2530680
USA,F,Tony Snell,73,11392857
USA,F,Omari Spellman,73,1897800
USA,G-F,Evan Turner,73,18606556
USA,G,Lonnie Walker,73,2764200
Other,C,Ante Zizic,73,2281800
USA,G,Tyler Herro,73,3640200
Other,F,Sekou Doumbouya,73,3285120
Other,F,Brandon Clarke,73,2478840
USA,F,Nassir Little,73,2105520
USA,G,Grayson Allen,72,2429400
USA,G,Michael Carter-Williams,72,2028594
USA,G,Donte DiVincenzo,72,2905800
USA,F,Jared Dudley,72,2564753
USA,F,Chandler Hutchison,72,2332320
USA,G,Brandon Knight,72,15643750
USA,G-F,Courtney Lee,72,12759670
Other,F-C,Thon Maker,72,3569643
USA,G,Cameron Payne,72,346288
USA,G,Anfernee Simons,72,2149560
USA,G-F,Zhaire Smith,72,3058800
USA,F,DJ Wilson,72,2961120
USA,G,Romeo Langford,72,3458400
USA,F,Grant Williams,72,2379840
USA,F,PJ Washington,72,3831840
USA,G-F,Kevin Porter,72,1290960
Other,C,Goga Bitadze,72,2816760
Other,G,Nickeil Alexander-Walker,72,2964840
USA,F-C,Chuma Okeke,72,2773550
USA,G-F,Matisse Thybulle,72,2582160
USA,F,Cameron Johnson,72,4033440
USA,G,Ty Jerome,72,2193480
Other,F,Luka Samanic,72,2689920
USA,F,Keldon Johnson,72,1950600
USA,G,Jacob Evans,71,1925880
USA,G,Terrance Ferguson,71,2475840
USA,G,Ben McLemore,71,2028594
Other,F,Dzanan Musa,71,1911600
USA,G,Jerome Robinson,71,3567720
Other,F,Moritz Wagner,71,2063520
USA,F,Darius Bazley,70,2284800
USA,F-C,Tony Bradley,70,1962360
USA,F,Solomon Hill,70,13290395
Other,F-C,Skal Labissiere,70,2338846
USA,F-C,Tyler Lydon,70,50000
